Source,Target,Type,id,label,timeset,weight
Fingerprint,Breach,Directed,1291,,,1.0
Fingerprint,Records,Directed,1292,,,33.0
Fingerprint,Data,Directed,1293,,,14.0
Affected,Opm,Directed,1294,,,13.0
Affected,Million,Directed,1295,,,161.0
Affected,Hack,Directed,1296,,,3.0
Affected,Http,Directed,1297,,,7.0
Affected,Millions,Directed,1299,,,1.0
Affected,Americans,Directed,1300,,,40.0
Affected,Breach,Directed,1301,,,60.0
Affected,Includes,Directed,1302,,,39.0
Affected,Government,Directed,1303,,,1.0
Affected,Data,Directed,1304,,,2.0
Hackers,Stole,Directed,1305,,,125.0
Hackers,Million,Directed,1306,,,23.0
Hackers,Affected,Directed,1309,,,4.0
Hackers,Personal,Directed,1310,,,3.0
Hackers,Opm,Directed,1311,,,1.0
Hackers,Federal,Directed,1312,,,1.0
Hackers,Stolen,Directed,1313,,,4.0
Information,Employee,Directed,1317,,,3.0
Information,Opm,Directed,1318,,,2.0
Information,Million,Directed,1319,,,3.0
Information,Security,Directed,1320,,,1.0
Information,Compromised,Directed,1322,,,9.0
Information,Stolen,Directed,1323,,,12.0
Information,Government,Directed,1324,,,1.0
Americans,Fingerprints,Directed,1326,,,1.0
Americans,Info,Directed,1327,,,1.0
Americans,Compromised,Directed,1328,,,7.0
Americans,Affected,Directed,1329,,,3.0
Americans,Personal,Directed,1330,,,3.0
Time,Federal,Directed,1334,,,6.0
Million,Fingerprint,Directed,1335,,,4.0
Million,Time,Directed,1336,,,5.0
Million,Americans,Directed,1338,,,46.0
Million,Affected,Directed,1339,,,87.0
Million,Opm,Directed,1340,,,5.0
Million,Fingerprints,Directed,1341,,,177.0
Million,Info,Directed,1342,,,1.0
Million,Federal,Directed,1343,,,203.0
Million,People,Directed,1344,,,333.0
Million,Compromised,Directed,1345,,,32.0
Million,Million,Directed,1346,,,15.0
Million,Stolen,Directed,1347,,,3.0
Million,Personal,Directed,1348,,,1.0
Million,Records,Directed,1349,,,62.0
Million,Employees,Directed,1352,,,1.0
Million,Includes,Directed,1353,,,5.0
Million,Government,Directed,1354,,,30.0
Million,Workers,Directed,1355,,,90.0
Million,Data,Directed,1356,,,13.0
Data,Stole,Directed,1357,,,1.0
Data,Million,Directed,1358,,,34.0
Data,Hack,Directed,1360,,,13.0
Data,Employee,Directed,1361,,,1.0
Data,Federal,Directed,1363,,,10.0
Data,Stolen,Directed,1364,,,56.0
Data,Breach,Directed,1365,,,54.0
Data,Government,Directed,1367,,,4.0
Applied,Federal,Directed,1370,,,187.0
Fingerprints,Opm,Directed,1372,,,5.0
Fingerprints,Million,Directed,1373,,,11.0
Fingerprints,Security,Directed,1375,,,43.0
Fingerprints,Stolen,Directed,1377,,,309.0
Fingerprints,Compromised,Directed,1378,,,2.0
