Source,Target,Type,id,label,timeset,weight
Hack,Http,Directed,597,,,2.0
Hack,Personal,Directed,598,,,2.0
Hack,Worse,Directed,599,,,24.0
Hack,Hack,Directed,601,,,1.0
Hack,Govt,Directed,602,,,4.0
Hack,Security,Directed,603,,,1.0
Systems,Compromised,Directed,606,,,3.0
Systems,Hacked,Directed,607,,,2.0
Sensitive,Data,Directed,608,,,28.0
Sensitive,Security,Directed,609,,,57.0
Sensitive,Info,Directed,610,,,6.0
Today,Opm,Directed,611,,,8.0
Today,People,Directed,613,,,3.0
Today,Personal,Directed,614,,,8.0
Personal,Info,Directed,615,,,107.0
Personal,Data,Directed,616,,,72.0
Present,Prospecti,Directed,619,,,211.0
Accessed,Forms,Directed,621,,,138.0
Accessed,Breach,Directed,622,,,2.0
Million,Present,Directed,625,,,214.0
Million,Worse,Directed,626,,,2.0
Million,People,Directed,627,,,5.0
Million,Security,Directed,628,,,1.0
Bad,Opm,Directed,631,,,1.0
Bad,Security,Directed,632,,,4.0
Bad,Bad,Directed,635,,,6.0
Bad,Http,Directed,636,,,2.0
Bad,Worse,Directed,637,,,1.0
Bad,Read,Directed,638,,,11.0
Number,People,Directed,639,,,24.0
Number,Systems,Directed,640,,,1.0
Number,Compromised,Directed,641,,,1.0
Number,Govt,Directed,645,,,117.0
Number,Security,Directed,646,,,1.0
Officials,Hack,Directed,647,,,1.0
Officials,Fired,Directed,648,,,117.0
Officials,Hackers,Directed,649,,,1.0
