Source,Target,Type,id,label,timeset,weight
Read,Report,Directed,401,,,10.0
Read,Read,Directed,402,,,6.0
Read,Http,Directed,404,,,1.0
Fired,Hack,Directed,405,,,3.0
Fired,Fired,Directed,406,,,1.0
Fired,Personal,Directed,407,,,3.0
Report,Hack,Directed,410,,,2.0
Report,Hackers,Directed,411,,,3.0
Report,Opm,Directed,412,,,10.0
Report,Data,Directed,413,,,9.0
Report,Security,Directed,416,,,20.0
Compromised,Personal,Directed,417,,,15.0
Compromised,Opm,Directed,418,,,19.0
Compromised,Security,Directed,419,,,4.0
Compromised,People,Directed,420,,,2.0
Compromised,Data,Directed,421,,,4.0
Data,Victims,Directed,422,,,1.0
Data,Compromised,Directed,423,,,23.0
Data,Data,Directed,424,,,4.0
Data,Hacked,Directed,425,,,4.0
Data,Http,Directed,427,,,2.0
Data,Hackers,Directed,428,,,2.0
Data,Govt,Directed,429,,,1.0
Data,Exposed,Directed,431,,,8.0
Data,Systems,Directed,432,,,3.0
Data,Opm,Directed,433,,,1.0
Data,Security,Directed,434,,,13.0
Data,Breaches,Directed,435,,,55.0
Data,Personal,Directed,436,,,1.0
Data,Hack,Directed,439,,,18.0
Data,People,Directed,440,,,2.0
Data,Breach,Directed,441,,,321.0
Enrollees,Obamacare,Directed,442,,,107.0
Worse,Reported,Directed,443,,,1.0
Worse,Opm,Directed,444,,,1.0
Worse,Http,Directed,446,,,3.0
Worse,Worse,Directed,447,,,80.0
Worse,Victims,Directed,448,,,9.0
Worse,Hackers,Directed,450,,,45.0
Worse,Originally,Directed,451,,,223.0
Worse,Bad,Directed,452,,,3.0
Worse,Sensitive,Directed,453,,,56.0
Originally,Reported,Directed,455,,,218.0
Forms,Hacked,Directed,459,,,1.0
Reports,Worse,Directed,460,,,214.0
Reports,Data,Directed,461,,,1.0
Reports,People,Directed,462,,,2.0
Actors,Accessed,Directed,464,,,138.0
Exposed,Security,Directed,465,,,34.0
Exposed,Opm,Directed,467,,,10.0
Exposed,Data,Directed,468,,,4.0
Exposed,Breaches,Directed,469,,,1.0
Breach,Opm,Directed,472,,,3.0
Breach,Data,Directed,473,,,3.0
Breach,Hacked,Directed,474,,,1.0
Breach,Worse,Directed,475,,,5.0
Breach,Victims,Directed,476,,,10.0
Breach,Read,Directed,478,,,2.0
Breach,Security,Directed,479,,,9.0
Breach,Exposed,Directed,480,,,1.0
Breach,Hackers,Directed,481,,,4.0
Breach,Report,Directed,482,,,4.0
Breach,Http,Directed,486,,,3.0
Breach,Bad,Directed,487,,,1.0
Icit,Opm,Directed,490,,,42.0
Icit,Protecting,Directed,491,,,83.0
Security,Data,Directed,492,,,4.0
Security,Bad,Directed,494,,,20.0
Security,Systems,Directed,497,,,60.0
Security,Breaches,Directed,498,,,2.0
Security,Clearance,Directed,499,,,298.0
Security,Info,Directed,500,,,16.0
Security,Number,Directed,502,,,8.0
Security,Breach,Directed,503,,,8.0
Breaches,Http,Directed,505,,,2.0
Clearance,Opm,Directed,506,,,4.0
Clearance,Data,Directed,507,,,69.0
Clearance,Today,Directed,508,,,4.0
Clearance,Personal,Directed,510,,,56.0
Clearance,Hacked,Directed,511,,,2.0
Clearance,Forms,Directed,512,,,3.0
Clearance,Info,Directed,513,,,16.0
People,Fired,Directed,514,,,4.0
People,Read,Directed,515,,,2.0
People,Hacked,Directed,516,,,107.0
People,Exposed,Directed,517,,,11.0
People,Bad,Directed,518,,,1.0
People,Clearance,Directed,519,,,1.0
People,People,Directed,520,,,2.0
People,Hack,Directed,521,,,3.0
People,Security,Directed,522,,,4.0
People,Personal,Directed,523,,,3.0
People,Sensitive,Directed,524,,,1.0
People,Info,Directed,525,,,3.0
Letter,Hackers,Directed,526,,,3.0
Letter,Opm,Directed,527,,,3.0
Letter,Today,Directed,528,,,24.0
Letter,Info,Directed,529,,,19.0
Info,Compromised,Directed,532,,,28.0
Info,Hacked,Directed,534,,,217.0
Info,Http,Directed,536,,,15.0
Info,Govt,Directed,538,,,1.0
Info,Exposed,Directed,539,,,56.0
Info,Systems,Directed,540,,,1.0
Info,Security,Directed,541,,,7.0
Info,Accessed,Directed,542,,,2.0
Info,People,Directed,543,,,2.0
Info,Million,Directed,544,,,2.0
Reported,Info,Directed,548,,,214.0
Opm,Report,Directed,549,,,2.0
Opm,Data,Directed,551,,,140.0
Opm,Hacked,Directed,552,,,6.0
Opm,Worse,Directed,553,,,1.0
Opm,Victims,Directed,554,,,3.0
Opm,Hackers,Directed,555,,,10.0
Opm,Hack,Directed,557,,,19.0
Opm,Systems,Directed,558,,,5.0
Opm,Security,Directed,559,,,12.0
Opm,Personal,Directed,560,,,1.0
Opm,Officials,Directed,561,,,23.0
Opm,Sensitive,Directed,562,,,1.0
Opm,Breach,Directed,563,,,139.0
Hacked,Million,Directed,564,,,215.0
Hacked,Opm,Directed,565,,,7.0
Hacked,Data,Directed,566,,,1.0
Hacked,Personal,Directed,568,,,4.0
Hacked,Enrollees,Directed,569,,,107.0
Hacked,Bad,Directed,570,,,2.0
Hacked,Hacked,Directed,571,,,1.0
Hacked,Govt,Directed,572,,,2.0
Hacked,Info,Directed,573,,,3.0
Victims,Reports,Directed,574,,,2.0
Hackers,Personal,Directed,575,,,1.0
Hackers,Opm,Directed,576,,,2.0
Hackers,Data,Directed,578,,,1.0
Govt,Systems,Directed,580,,,1.0
Govt,Data,Directed,582,,,16.0
Govt,Officials,Directed,585,,,118.0
Govt,Info,Directed,586,,,1.0
Protecting,Govt,Directed,587,,,1.0
Protecting,Act,Directed,588,,,83.0
Protecting,Info,Directed,590,,,1.0
Protecting,Data,Directed,592,,,5.0
Hack,Exposed,Directed,593,,,4.0
