id,label,timeset,d0
Big,Big,,130
Tips,Tips,,126
Hackers,Hackers,,308
Opm,Opm,,353
Risk,Risk,,151
Hack,Hack,,129
Chinese,Chinese,,219
Attack,Attack,,101
Reading,Reading,,111
Security,Security,,203
Great,Great,,106
Management,Management,,109
Usg,Usg,,124
Hearing,Hearing,,201
Breach,Breach,,168
Protect,Protect,,271
Cyber,Cyber,,622
Credit,Credit,,103
House,House,,104
News,News,,110
Personnel,Personnel,,163
Gov,Gov,,210
Victims,Victims,,215
