0.004,0.002,0.134,0.003,0.606,0.251,627257192190771200
0.001,0.049,0.054,0.073,0.730,0.093,627256962363867136
0.248,0.233,0.001,0.030,0.210,0.279,627254025776402432
0.248,0.233,0.001,0.030,0.210,0.279,627253766811742208
0.248,0.233,0.001,0.030,0.210,0.279,627250308192677888
0.248,0.233,0.001,0.030,0.210,0.279,627250051664875520
0.007,0.329,0.215,0.009,0.433,0.007,627249931267477504
0.248,0.233,0.001,0.030,0.210,0.279,627249477527670785
0.248,0.233,0.001,0.030,0.210,0.279,627249464642805760
0.248,0.233,0.001,0.030,0.210,0.279,627249409290575872
0.796,0.002,0.013,0.123,0.042,0.025,627244561866321920
0.014,0.121,0.001,0.786,0.005,0.073,627244527552741376
0.013,0.574,0.168,0.175,0.002,0.068,627244510351880192
0.004,0.869,0.112,0.003,0.004,0.008,627244495822848000
0.004,0.002,0.134,0.003,0.606,0.251,627244303539130369
0.362,0.109,0.002,0.001,0.314,0.212,627244286996824064
0.225,0.138,0.001,0.266,0.142,0.228,627244265786208257
0.004,0.002,0.134,0.003,0.606,0.251,627243811048189952
0.362,0.109,0.002,0.001,0.314,0.212,627243791695675393
0.225,0.138,0.001,0.266,0.142,0.228,627243764516564992
0.000,0.590,0.000,0.100,0.001,0.308,627225694674812928
0.006,0.273,0.028,0.661,0.021,0.010,627191136185110528
0.006,0.273,0.028,0.661,0.021,0.010,627184671030423552
0.001,0.250,0.008,0.660,0.040,0.041,627178668079517696
0.000,0.186,0.001,0.000,0.812,0.001,627174349951250432
0.001,0.011,0.255,0.001,0.671,0.061,627158389991170050
0.001,0.011,0.255,0.001,0.671,0.061,627157422025609216
0.000,0.590,0.000,0.100,0.001,0.308,627152268836634624
0.304,0.048,0.002,0.356,0.175,0.115,627150152881582080
0.854,0.001,0.003,0.001,0.001,0.140,627142802569326592
0.000,0.590,0.000,0.100,0.001,0.308,627138036355178496
0.162,0.121,0.008,0.706,0.001,0.002,627133299731877888
0.005,0.001,0.992,0.001,0.001,0.001,627132046603886592
0.162,0.121,0.008,0.706,0.001,0.002,627129965629181952
0.171,0.002,0.537,0.080,0.003,0.207,627123570963931136
0.057,0.252,0.016,0.655,0.019,0.001,627123501053251584
0.060,0.099,0.146,0.269,0.417,0.008,627122183693860868
0.060,0.099,0.146,0.269,0.417,0.008,627122113946763264
0.001,0.105,0.002,0.001,0.058,0.834,627120491292164096
0.001,0.105,0.002,0.001,0.058,0.834,627117556856303616
0.390,0.001,0.000,0.607,0.001,0.001,627117081381720064
0.001,0.105,0.002,0.001,0.058,0.834,627113466893959168
0.001,0.105,0.002,0.001,0.058,0.834,627113350145667072
0.001,0.105,0.002,0.001,0.058,0.834,627113065977356288
0.000,0.590,0.000,0.100,0.001,0.308,627112320200765440
0.001,0.174,0.000,0.421,0.394,0.010,627112199241265152
0.001,0.105,0.002,0.001,0.058,0.834,627111934010216452
0.004,0.447,0.333,0.041,0.105,0.070,627111926552772608
0.000,0.590,0.000,0.100,0.001,0.308,627111401883074560
0.000,0.590,0.000,0.100,0.001,0.308,627110982389776384
0.126,0.366,0.058,0.036,0.020,0.394,627103475474821120
0.001,0.292,0.000,0.506,0.001,0.201,627101137578131456
0.001,0.292,0.000,0.506,0.001,0.201,627099885687468032
0.001,0.292,0.000,0.506,0.001,0.201,627099789734379520
0.001,0.292,0.000,0.506,0.001,0.201,627095897239764992
0.171,0.002,0.537,0.080,0.003,0.207,627094371494572032
0.057,0.252,0.016,0.655,0.019,0.001,627094329983651840
0.057,0.252,0.016,0.655,0.019,0.001,627093383043878912
0.061,0.007,0.004,0.919,0.004,0.005,627092459684823040
0.171,0.002,0.537,0.080,0.003,0.207,627091742488199169
0.001,0.002,0.076,0.002,0.107,0.811,627091559260024832
0.063,0.002,0.048,0.040,0.064,0.784,627085562457919488
0.004,0.002,0.134,0.003,0.606,0.251,627082719151960064
0.362,0.109,0.002,0.001,0.314,0.212,627082650411507712
0.010,0.106,0.005,0.788,0.015,0.077,627082291844673536
0.225,0.138,0.001,0.266,0.142,0.228,627081486437584896
0.362,0.109,0.002,0.001,0.314,0.212,627081281604583424
0.004,0.002,0.134,0.003,0.606,0.251,627081102373580800
0.000,0.590,0.000,0.100,0.001,0.308,627081013349457920
0.000,0.590,0.000,0.100,0.001,0.308,627056468504780801
0.000,0.590,0.000,0.100,0.001,0.308,627053091754520576
0.219,0.367,0.049,0.005,0.080,0.279,627000564585336833
0.000,0.590,0.000,0.100,0.001,0.308,626966822974173188
0.282,0.046,0.037,0.011,0.525,0.098,626961997309972481
0.031,0.088,0.037,0.490,0.035,0.318,626961507809521664
0.323,0.028,0.340,0.001,0.306,0.002,626961126853492736
0.010,0.112,0.004,0.777,0.016,0.081,626959334690328576
0.168,0.001,0.001,0.495,0.004,0.331,626956589694648321
0.048,0.069,0.114,0.229,0.111,0.430,626953379063971841
0.000,0.590,0.000,0.100,0.001,0.308,626948639513018368
0.001,0.011,0.255,0.001,0.671,0.061,626936426748346368
0.033,0.267,0.025,0.629,0.012,0.034,626927146620059648
0.229,0.004,0.002,0.001,0.074,0.690,626924700896092160
0.154,0.251,0.059,0.050,0.012,0.473,626924646378553344
0.001,0.310,0.001,0.001,0.121,0.566,626924602719993857
0.796,0.002,0.013,0.123,0.042,0.025,626924574651891712
0.014,0.121,0.001,0.786,0.005,0.073,626924540388577280
0.004,0.869,0.112,0.003,0.004,0.008,626924513658306560
0.113,0.015,0.157,0.699,0.001,0.014,626923734608314368
0.083,0.066,0.107,0.040,0.054,0.651,626923719139704833
0.796,0.002,0.013,0.123,0.042,0.025,626923429019709441
0.014,0.121,0.001,0.786,0.005,0.073,626923331372101632
0.004,0.869,0.112,0.003,0.004,0.008,626923301953257472
0.796,0.002,0.013,0.123,0.042,0.025,626922077644267520
0.014,0.121,0.001,0.786,0.005,0.073,626922027836960768
0.013,0.574,0.168,0.175,0.002,0.068,626922009633685504
0.004,0.869,0.112,0.003,0.004,0.008,626921991514267648
0.004,0.869,0.112,0.003,0.004,0.008,626913573118320640
